dataset,filename,train_time_s,project_time_s,unproject_time_s,total_time_s
kitti,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin,30.603581,0.009311,0.003846,30.616738
kitti,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin,32.022133,0.009496,0.003803,32.035432
kitti,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin,32.886694,0.009663,0.003915,32.900272
kitti,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin,30.449039,0.008701,0.003530,30.461269
kitti,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin,31.704027,0.009485,0.003878,31.717390
kitti,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin,31.186283,0.009232,0.003831,31.199346
kitti,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin,31.435216,0.009489,0.003862,31.448567
kitti,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin,31.079153,0.009350,0.003807,31.092309
kitti,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin,31.260710,0.009620,0.003874,31.274205
kitti,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin,30.248111,0.009010,0.003681,30.260802
durlar,DurLAR_20210716/ouster_points/data/0000000000.bin,41.144490,0.019516,0.004715,41.168721
durlar,DurLAR_20210716/ouster_points/data/0000041993.bin,35.414036,0.015622,0.003736,35.433394
durlar,DurLAR_20210901/ouster_points/data/0000000000.bin,43.050054,0.020493,0.004959,43.075506
durlar,DurLAR_20210901/ouster_points/data/0000023347.bin,40.874989,0.019874,0.004776,40.899639
durlar,DurLAR_20211012/ouster_points/data/0000000000.bin,39.974471,0.018793,0.004709,39.997973
durlar,DurLAR_20211012/ouster_points/data/0000028642.bin,46.511634,0.026984,0.006343,46.544961
durlar,DurLAR_20211208/ouster_points/data/0000000000.bin,42.612157,0.020041,0.004852,42.637050
durlar,DurLAR_20211208/ouster_points/data/0000026850.bin,40.587326,0.018920,0.004643,40.610890
durlar,DurLAR_20211209/ouster_points/data/0000000000.bin,41.768484,0.019738,0.004853,41.793076
durlar,DurLAR_20211209/ouster_points/data/0000025079.bin,41.269345,0.019542,0.004787,41.293675
