dataset,dataset_frame_id,relative_path,estimate_relative_path,method,ri_width,ri_height,original_points_count,reconstructed_points_count,k_neighbors,runtime_seconds,metrics_runtime_seconds,reconstructed_to_original_point_to_plane_mean,reconstructed_to_original_point_to_plane_rmse,reconstructed_to_original_point_to_plane_median,reconstructed_to_original_point_to_plane_p95,reconstructed_to_original_point_to_plane_max,original_to_reconstructed_point_to_plane_mean,original_to_reconstructed_point_to_plane_rmse,original_to_reconstructed_point_to_plane_median,original_to_reconstructed_point_to_plane_p95,original_to_reconstructed_point_to_plane_max,point_to_plane_mean,point_to_plane_rmse,point_to_plane_median,point_to_plane_p95,point_to_plane_max
kitti,26283,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126956,126956,12,1.0084757300001002,0.9728693810002369,0.00020456600513906882,0.000250019381927553,0.00018094867271384757,0.0004658399343654234,0.0008086692722924643,0.00020454003681626994,0.00024999314391301036,0.00018097399683365085,0.00046590761135790267,0.0008085580852817405,0.00020455302097766937,0.00025000626326448974,0.00018095759375875357,0.000465869569800092,0.0008086692722924643
kitti,26283,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126956,116913,12,0.9541914289993656,0.9484583039993595,0.015195256250616206,0.023597300679144003,0.010294176148988629,0.04734039346939451,0.27682461007981557,0.018064035319807152,0.039527356842703386,0.01089990452807518,0.05565477902688521,4.002032099046207,0.016688716737632617,0.03286834535248685,0.010604308476599949,0.05164212351754086,4.002032099046207
kitti,24270,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000001.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,127058,127058,12,1.0308890730002531,0.9873376120003741,0.00020438988065329809,0.0002496456511971119,0.00018124140892308022,0.0004658630742747644,0.0007862329321487873,0.00020436390414023268,0.0002496323505960227,0.00018127519032858498,0.0004659707581274414,0.000786223221572623,0.00020437689239676538,0.0002496390009851482,0.00018126626536692323,0.00046591973556926204,0.0007862329321487873
kitti,24270,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000001.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,127058,117196,12,0.9725614480012155,0.9670198460007668,0.015173017348007342,0.02372221166028257,0.010204684761855529,0.0471638818951792,0.2730991863387702,0.017984472492478108,0.04625550891920015,0.010804022819594018,0.055286698353355215,4.390126052780024,0.01663550257955387,0.037188583419009505,0.010500613783132124,0.051414141828100786,4.390126052780024
kitti,25423,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000002.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,127195,127195,12,1.025259817000915,0.9843195740004376,0.00020354087672083766,0.0002487830210356518,0.00018035775066601418,0.00046537035235393384,0.000730008375621149,0.00020357504869965415,0.00024880402198139065,0.00018034371659490035,0.00046546398045558255,0.0007300010361818275,0.0002035579627102459,0.0002487935217301105,0.00018035022342182414,0.0004654051924439101,0.000730008375621149
kitti,25423,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000002.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,127195,117184,12,0.9751246450005056,0.9694425590005267,0.015055661226708195,0.023602288224567225,0.010170204080354812,0.04675834857102162,0.26522689418950046,0.01776671409649845,0.04035320050280849,0.010796177523199562,0.055965547109924005,3.147684957008935,0.016466716881134196,0.03338663797749007,0.010486025844704967,0.05140166086488363,3.147684957008935
kitti,23936,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000003.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,127198,127198,12,1.037910995000857,0.9936317700003201,0.00020474534072591484,0.00024975995671395736,0.0001814412232193282,0.00046663374133889114,0.0007850924457640085,0.00020473232253201437,0.0002497564884221301,0.0001815160699289739,0.0004666207213636014,0.0007855380950401084,0.0002047388316289646,0.0002497582225740641,0.00018148063176294044,0.00046662729229350196,0.0007855380950401084
kitti,23936,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000003.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,127198,117214,12,0.9830023289996461,0.9775041820003025,0.015091877460330557,0.02370668947223476,0.010351319350034891,0.04734952892550507,0.27517812078306764,0.017881189530183878,0.043484269759736016,0.010888970288745676,0.05612797053493119,4.362844552546874,0.016543503880724005,0.03540601726897038,0.010630215255040404,0.05179814125275097,4.362844552546874
kitti,25537,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000004.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,127142,127142,12,1.0337516039999173,0.9890755639999043,0.00020356720007411197,0.00024881187636636136,0.00017992320117048036,0.00046536186779864503,0.0007993269477130272,0.0002035758243581386,0.0002488071322528325,0.00017982455319792088,0.00046526031427662805,0.0007999141473787206,0.00020357151221612533,0.0002488095043209041,0.00017987147895188804,0.0004652844726422416,0.0007999141473787206
kitti,25537,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000004.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,127142,116910,12,0.9841409129994645,0.9785351190002984,0.014693142872758662,0.022703883825940005,0.010033079402461443,0.04588610891984812,0.26600211837449494,0.018019943405603565,0.04635659988855196,0.010679321840177223,0.05649353252347445,2.795391145178946,0.0164262820125607,0.03696542061802691,0.010362414846464083,0.05224499767054193,2.795391145178946
kitti,26194,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000005.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126999,126999,12,1.022681076000481,0.9837888090005436,0.00020370714682394178,0.0002488236299359591,0.00018058478162829753,0.0004654604142826685,0.0007262428556432455,0.00020370738236810747,0.0002488102309903929,0.00018050444870237618,0.0004653286760769088,0.0007261110674705439,0.00020370726459602466,0.0002488169305533687,0.00018054918111888097,0.0004654060012373153,0.0007262428556432455
kitti,26194,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000005.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126999,117312,12,0.9737533669995173,0.9682370419996005,0.014986303479018075,0.02301825673997439,0.010238007101809637,0.04570528913911665,0.23174973638542024,0.017820432656903386,0.046602544448074115,0.010803594342451664,0.05574580579844796,5.3723104915330575,0.016459555078259438,0.03719369133591291,0.010524582082776433,0.05183404418354237,5.3723104915330575
kitti,26409,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000006.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126987,126987,12,1.011532824000824,0.972564591000264,0.00020411576665483135,0.0002494498567123785,0.00018044856651567662,0.0004669861417922688,0.0007801473893038684,0.00020409903073104335,0.00024944201677010023,0.00018036278809273885,0.00046700997721893555,0.0007785679386237767,0.00020410739869293736,0.00024944593677204,0.0001804089134533317,0.00046700881256113615,0.0007801473893038684
kitti,26409,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000006.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126987,117359,12,0.9664007020001009,0.960615852999581,0.01550610419001459,0.02334962090813287,0.010632196014611213,0.04790919660145609,0.29798199957157995,0.01848768422461825,0.046687577911348026,0.011258033975395867,0.055332786957828166,3.9993025153575266,0.017055636017235882,0.03734528184966551,0.010946382402678038,0.05179238214574867,3.9993025153575266
kitti,24930,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000007.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,127070,127070,12,1.0394131019993438,0.9893175509996581,0.00020406020302114706,0.000249144151983757,0.00018135528504185174,0.00046604944764311134,0.0007228495969651065,0.00020407548636861177,0.0002491660663328277,0.00018134907765416687,0.00046615864812650715,0.0007402973660054506,0.00020406784469487944,0.00024915510939922593,0.00018135386705772405,0.000466113151712097,0.0007402973660054506
kitti,24930,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000007.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,127070,117471,12,0.9655273740008852,0.9599098420003429,0.015462682510355135,0.023519740286033316,0.010658998261178141,0.04801119875912981,0.22722943607754545,0.01807433751444495,0.03937407047156776,0.011257401663642422,0.05582523920186481,3.029843220019356,0.016819767830893177,0.03273099789423165,0.010966794374335793,0.0515579165385842,3.029843220019356
kitti,24129,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000008.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126989,126989,12,1.0372467340002913,0.9939802540002347,0.00020581363209079827,0.0002508645455793353,0.0001833460458450685,0.0004665896025179848,0.0007338853858514044,0.00020584430138116295,0.0002509012588130772,0.0001834019589435069,0.0004665843697390631,0.0007334427820444205,0.0002058289667359806,0.00025088290286776527,0.00018337102555574566,0.0004665871029433585,0.0007338853858514044
kitti,24129,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000008.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126989,117188,12,0.967103634000523,0.9615643610004554,0.015616385409548529,0.023895152760492987,0.010633495768634281,0.04817882323619056,0.26300628610764815,0.018655078614350923,0.047038358484771295,0.011398750000779516,0.057203023637902604,3.818813795433438,0.017196716937025118,0.03774571959853158,0.011023727299849984,0.05265068920154138,3.818813795433438
kitti,24471,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000009.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126880,126880,12,1.0367133780000586,0.9917164669996055,0.00020714631768645634,0.0002526311640115698,0.00018438760481572178,0.00046993494075231717,0.0007561953233404363,0.00020716487685982794,0.00025264994010485223,0.00018443427807414463,0.00046991331260674846,0.000756184007867394,0.00020715559727314212,0.0002526405522326395,0.0001844105128804573,0.0004699282510354969,0.0007561953233404363
